PH,Turbidity,temperature,Potability
3.716080075,2.963135381,4.3,0
8.099124189,4.500656275,5.9,0
8.316765884,3.05593375,4.3,0
9.092223456,4.628770537,7.5,0
5.584086638,4.075075425,4.5,0
10.22386216,2.559708228,3.9,0
8.635848719,2.672988737,5.4,0
11.18028447,4.401424715,4.3,0
7.360640106,3.595017181,5.9,0
7.974521649,4.370561937,4.3,0
7.119824384,3.662291783,7.5,0
7.496232208,4.011718108,4.5,0
6.347271761,3.445756223,3.9,0
7.0517858,4.413974183,5.4,0
9.181560007,4.777382337,4.3,0
8.975464348,4.376348291,5.9,0
7.371050302,4.268428858,4.3,0
6.660212026,4.503660796,7.5,0
3.902475686,2.43608559,4.5,0
5.400301781,2.560299148,3.9,0
6.514415093,4.133422644,5.4,0
3.445061864,3.749701241,4.3,0
7.181448581,5.459250956,5.9,0
9.825489908,4.528522696,4.3,0
10.43329098,4.82478639,7.5,1
7.414148196,5.200885077,4.5,1
5.115817064,4.184396969,3.9,1
3.641629777,4.004871128,5.4,1
5.618064406,3.991564248,4.1,1
9.267187531,6.038184953,5.7,1
5.331940479,5.088859989,3.6,1
7.145771545,2.857472426,7.3,1
9.920691059,5.057310517,4.2,1
4.758439425,3.160624468,3.7,1
5.702925977,5.029166724,5.4,1
6.953864226,3.902088768,4.1,1
10.68296643,3.464353035,5.7,1
8.757257397,2.896546941,3.6,1
7.809631898,2.907563915,7.3,1
6.652488091,4.324004646,4.2,1
9.147197055,3.510004045,3.7,1
10.56074464,4.434820258,5.4,1
7.484254838,5.182590704,4.1,1
8.520806573,4.69070723,5.7,1
4.999413811,4.542801462,3.6,1
8.692092013,4.137739016,7.3,1
8.085759801,3.195710328,4.2,1
6.203977702,3.999775382,3.7,1
5.058108869,4.405586,5.4,1
